Provider,Anomaly_Score,Anomaly_Flag,PotentialFraud,Fraud_Label
PRV53511,0.6764442559979434,1,No,0
PRV56540,0.6764442559979434,1,No,0
PRV53033,0.6735809847820305,1,No,0
PRV55591,0.6590459106554738,1,No,0
PRV53725,0.6590459106554738,1,No,0
PRV57396,0.6590459106554738,1,No,0
PRV57461,0.6590459106554738,1,No,0
PRV51570,0.6590459106554738,1,No,0
PRV54046,0.6590459106554738,1,No,0
PRV54057,0.6590459106554738,1,No,0
PRV55078,0.6590459106554738,1,No,0
PRV54179,0.6590459106554738,1,No,0
PRV52957,0.6590459106554738,1,No,0
PRV56988,0.6590459106554738,1,No,0
PRV53924,0.6590459106554738,1,No,0
PRV53839,0.6590459106554738,1,No,0
PRV56560,0.6492091568923323,1,Yes,1
PRV57481,0.6451715437939064,1,Yes,1
PRV55462,0.6449144660658291,1,Yes,1
PRV52173,0.6444687427896219,1,Yes,1
PRV51119,0.6431830745390342,1,Yes,1
PRV52340,0.6429043766007538,1,Yes,1
PRV52178,0.6391811210511718,1,Yes,1
PRV52537,0.6389617805941128,1,No,0
PRV57399,0.6389617805941128,1,No,0
PRV57080,0.6389617805941128,1,No,0
PRV51501,0.6385577442120254,1,Yes,1
PRV52804,0.6377416109799408,1,No,0
PRV52283,0.6377380531149854,1,Yes,1
PRV57172,0.6369736248503896,1,Yes,1
PRV56416,0.6345487246057155,1,Yes,1
PRV54742,0.6323349048062,1,Yes,1
PRV55039,0.6317887560055335,1,Yes,1
PRV51822,0.6312329746269589,1,No,0
PRV52985,0.6309983170371263,1,Yes,1
PRV54772,0.6308170997380763,1,Yes,1
PRV54350,0.6306668762143939,1,Yes,1
PRV55067,0.6297033513756193,1,No,0
PRV56134,0.6289384925929089,1,Yes,1
PRV52266,0.6281221161861272,1,No,0
PRV51459,0.6274234096509138,1,Yes,1
PRV52019,0.6268762342533579,1,Yes,1
PRV55215,0.6261254774819608,1,Yes,1
PRV53763,0.6261132571835096,1,Yes,1
PRV52449,0.6258480433900062,1,No,0
PRV51618,0.6253995080134985,1,No,0
PRV54895,0.6241990566171689,1,Yes,1
PRV52458,0.6237467807831426,1,No,0
PRV51232,0.6216078604135852,1,No,0
PRV56286,0.6208313801647646,1,No,0
PRV51244,0.6207965711848488,1,Yes,1
PRV57191,0.6207563517920028,1,Yes,1
PRV52816,0.6192641015903694,1,No,0
PRV54262,0.6192641015903694,1,No,0
PRV52608,0.6192641015903694,1,No,0
PRV53516,0.6192641015903694,1,No,0
PRV53750,0.6184794927719521,1,No,0
PRV53394,0.61844882955756,1,No,0
PRV53385,0.6177001289515652,1,Yes,1
PRV57103,0.6171301654563839,1,Yes,1
PRV56541,0.617030249644267,1,Yes,1
PRV55004,0.6165942697906085,1,Yes,1
PRV54297,0.6157194575204163,1,Yes,1
PRV51590,0.6146890281921114,1,Yes,1
PRV55667,0.6140373469761616,1,Yes,1
PRV52696,0.6138792577121004,1,No,0
PRV52459,0.6138467313842526,1,No,0
PRV54718,0.6123811244635445,1,Yes,1
PRV55431,0.6123637651185101,1,No,0
PRV52815,0.6120415994922455,1,Yes,1
PRV51136,0.6119724566083754,1,No,0
PRV57098,0.6119115191303028,1,No,0
PRV56903,0.6118756821573004,1,No,0
PRV53225,0.6118502791176547,1,No,0
PRV56123,0.6115887638777293,1,No,0
PRV52064,0.6112357108996213,1,Yes,1
PRV52059,0.6108060782133949,1,Yes,1
PRV54324,0.6107245585787252,1,No,0
PRV54676,0.6102614000830394,1,Yes,1
PRV55467,0.6095136720143817,1,Yes,1
PRV51574,0.609451518454644,1,Yes,1
PRV57069,0.6094044656682007,1,No,0
PRV54778,0.6093777372244307,1,Yes,1
PRV51237,0.6092102117519981,1,No,0
PRV56017,0.6091939725889453,1,No,0
PRV55661,0.6091352652689779,1,No,0
PRV57635,0.6090384969279805,1,No,0
PRV53600,0.6089738905901012,1,No,0
PRV56902,0.6089738905901012,1,No,0
PRV51711,0.6089738905901012,1,No,0
