Provider,IP_Claim_Count,IP_Unique_Beneficiaries,IP_Total_Reimbursement,IP_Avg_Reimbursement,OP_Claim_Count,OP_Unique_Beneficiaries,OP_Total_Reimbursement,OP_Avg_Reimbursement,Total_Unique_Beneficiaries,Total_Claim_Count,Total_Reimbursement,Claims_Per_Beneficiary,Reimbursement_Per_Claim,IP_Claim_Share
PRV51001,1.791759469228055,1.791759469228055,11.48247656671073,9.873079890114703,3.044522437723423,2.995732273553991,8.941283763647567,5.948034989180646,3.2188758248682006,3.258096538021482,11.558290723220285,0.713766467762681,8.33964422766042,0.2
PRV51003,4.143134726391533,3.9889840465642745,13.258642740896052,9.131614807241604,4.2626798770413155,4.204692619390966,10.394243113248184,6.147857608875767,4.770684624465665,4.890349128221754,13.314092213335128,0.7552789616669515,8.431506556403065,0.4696969696969697
PRV51004,0.0,0.0,0.0,0.0,5.0106352940962555,4.9344739331306915,10.862282063937007,5.861168566853116,4.9344739331306915,5.0106352940962555,10.862282063937007,0.7322285306024162,5.861168566853116,0.0
PRV51005,0.0,0.0,0.0,0.0,7.061334366910438,6.206575926724928,12.545793172168969,5.489451906006846,6.206575926724928,7.061334366910438,12.545793172168969,1.2100151187818986,5.489451906006846,0.0
PRV51007,1.3862943611198906,1.3862943611198906,9.852246888342531,8.753739851753249,4.248495242049359,4.04305126783455,9.596350792250211,5.366856028617313,4.07753744390572,4.290459441148391,10.425579472576013,0.8070914399091631,6.151017276224235,0.0416666666666666
PRV51008,1.0986122886681098,1.0986122886681098,10.12667110305036,9.433563920090563,3.7376696182833684,3.5553480614894135,9.271529540288606,5.561712993912257,3.6109179126442243,3.784189633918261,10.48097132444235,0.7859289140109115,6.720949263412126,0.0465116279069767
PRV51011,0.6931471805599453,0.6931471805599453,8.517393171418904,8.517393171418904,4.060443010546419,3.970291913552122,9.36142922633904,5.323181124098607,3.9889840465642745,4.07753744390572,9.71902370267014,0.7392382877602123,5.662002166694134,0.0172413793103448
PRV51012,0.0,0.0,0.0,0.0,3.8918202981106265,3.4657359027997265,9.734536214680345,5.866113886573653,3.4657359027997265,3.8918202981106265,9.734536214680345,0.9354606479818752,5.866113886573653,0.0
PRV51013,0.0,0.0,0.0,0.0,3.8501476017100584,3.8066624897703196,9.60784051043005,5.782218541202238,3.8066624897703196,3.8501476017100584,9.60784051043005,0.7156200364120039,5.782218541202238,0.0
PRV51014,0.0,0.0,0.0,0.0,3.4339872044851463,3.258096538021482,9.257319373170178,5.858885082208841,3.258096538021482,3.4339872044851463,9.257319373170178,0.7884573603642702,5.858885082208841,0.0
PRV51015,0.0,0.0,0.0,0.0,2.1972245773362196,2.0794415416798357,6.55250788703459,4.483002552013883,2.0794415416798357,2.1972245773362196,6.55250788703459,0.7621400520468967,4.483002552013883,0.0
PRV51016,0.0,0.0,0.0,0.0,1.9459101490553132,1.9459101490553132,5.14166355650266,3.3787245258100964,1.9459101490553132,1.9459101490553132,5.14166355650266,0.6931471805599453,3.3787245258100964,0.0
PRV51017,0.0,0.0,0.0,0.0,6.246106765481563,6.042632833682381,11.868646954515746,5.628075016388676,6.042632833682381,6.246106765481563,11.868646954515746,0.8002918180112731,5.628075016388676,0.0
PRV51021,3.4011973816621555,3.1780538303479458,12.502470376049185,9.135278629478229,5.43372200355424,5.236441962829949,11.287667179180453,5.861161022016035,5.342334251964811,5.552959584921617,12.7623428432145,0.8044993258860383,7.2140003688909555,0.11284046692607
PRV51023,2.302585092994046,2.302585092994046,10.896757843893464,8.699681400989514,3.332204510175204,3.332204510175204,9.359708203627006,6.066108090103747,3.58351893845611,3.6109179126442243,11.091498643801799,0.7073318155519017,7.508513010248735,0.25
PRV51024,2.302585092994046,2.302585092994046,11.0186455364637,8.821552095919735,3.4339872044851463,3.4011973816621555,8.02322468471667,4.631487494305465,3.6635616461296463,3.6888794541139363,11.0674349200055,0.7062192621272981,7.404466375188698,0.2307692307692307
PRV51025,2.6390573296152584,2.5649493574615367,11.362114203075018,8.797304369140862,4.31748811353631,4.204692619390966,10.384400211352366,6.082589075103975,4.343805421853684,4.477336814478207,11.681410064420586,0.7630168605204312,7.216228333959504,0.1494252873563218
