Provider,IP_Claim_Count,IP_Unique_Beneficiaries,IP_Total_Reimbursement,IP_Avg_Reimbursement,IP_Total_Deductible,IP_Avg_Deductible,OP_Claim_Count,OP_Unique_Beneficiaries,OP_Total_Reimbursement,OP_Avg_Reimbursement,OP_Total_Deductible,OP_Avg_Deductible,Total_Unique_Beneficiaries,Total_Claim_Count,Total_Reimbursement,Total_Deductible,Claims_Per_Beneficiary,Reimbursement_Per_Beneficiary,Reimbursement_Per_Claim,IP_Claim_Share
PRV51001,5.0,5.0,97000.0,19400.0,5340.0,1068.0,20.0,19.0,7640.0,382.0,0.0,0.0,24,25.0,104640.0,5340.0,1.0416666666666667,4360.0,4185.6,0.2
PRV51003,62.0,53.0,573000.0,9241.935483870968,66216.0,1068.0,70.0,66.0,32670.0,466.7142857142857,70.0,1.0,117,132.0,605670.0,66286.0,1.1282051282051282,5176.666666666667,4588.409090909091,0.4696969696969697
PRV51004,0.0,0.0,0.0,0.0,0.0,0.0,149.0,138.0,52170.0,350.13422818791946,310.0,2.0805369127516777,138,149.0,52170.0,310.0,1.0797101449275361,378.04347826086956,350.13422818791946,0.0
PRV51005,0.0,0.0,0.0,0.0,0.0,0.0,1165.0,495.0,280910.0,241.1244635193133,3700.0,3.1759656652360513,495,1165.0,280910.0,3700.0,2.3535353535353534,567.4949494949495,241.1244635193133,0.0
PRV51007,3.0,3.0,19000.0,6333.333333333333,3204.0,1068.0,69.0,56.0,14710.0,213.18840579710144,60.0,0.8695652173913043,58,72.0,33710.0,3264.0,1.2413793103448276,581.2068965517242,468.19444444444446,0.041666666666666664
PRV51008,2.0,2.0,25000.0,12500.0,2136.0,1068.0,41.0,34.0,10630.0,259.2682926829268,180.0,4.390243902439025,36,43.0,35630.0,2316.0,1.1944444444444444,989.7222222222222,828.6046511627907,0.046511627906976744
PRV51011,1.0,1.0,5000.0,5000.0,1068.0,1068.0,57.0,52.0,11630.0,204.03508771929825,300.0,5.2631578947368425,53,58.0,16630.0,1368.0,1.0943396226415094,313.77358490566036,286.7241379310345,0.017241379310344827
PRV51012,0.0,0.0,0.0,0.0,0.0,0.0,48.0,31.0,16890.0,351.875,100.0,2.0833333333333335,31,48.0,16890.0,100.0,1.5483870967741935,544.8387096774194,351.875,0.0
PRV51013,0.0,0.0,0.0,0.0,0.0,0.0,46.0,44.0,14880.0,323.4782608695652,230.0,5.0,44,46.0,14880.0,230.0,1.0454545454545454,338.1818181818182,323.4782608695652,0.0
PRV51014,0.0,0.0,0.0,0.0,0.0,0.0,30.0,25.0,10480.0,349.3333333333333,120.0,4.0,25,30.0,10480.0,120.0,1.2,419.2,349.3333333333333,0.0
PRV51015,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,700.0,87.5,0.0,0.0,7,8.0,700.0,0.0,1.1428571428571428,100.0,87.5,0.0
PRV51016,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,170.0,28.333333333333332,0.0,0.0,6,6.0,170.0,0.0,1.0,28.333333333333332,28.333333333333332,0.0
PRV51017,0.0,0.0,0.0,0.0,0.0,0.0,515.0,420.0,142720.0,277.126213592233,1050.0,2.0388349514563107,420,515.0,142720.0,1050.0,1.2261904761904763,339.8095238095238,277.126213592233,0.0
PRV51021,29.0,23.0,269000.0,9275.862068965518,30972.0,1068.0,228.0,187.0,79830.0,350.13157894736844,520.0,2.280701754385965,208,257.0,348830.0,31492.0,1.2355769230769231,1677.0673076923076,1357.3151750972763,0.11284046692607004
PRV51023,9.0,9.0,54000.0,6000.0,8544.0,1068.0,27.0,27.0,11610.0,430.0,80.0,2.962962962962963,35,36.0,65610.0,8624.0,1.0285714285714285,1874.5714285714287,1822.5,0.25
PRV51024,9.0,9.0,61000.0,6777.777777777777,9612.0,1068.0,30.0,29.0,3050.0,101.66666666666667,90.0,3.0,38,39.0,64050.0,9702.0,1.0263157894736843,1685.5263157894738,1642.3076923076924,0.23076923076923078
PRV51025,13.0,12.0,86000.0,6615.384615384615,13884.0,1068.0,74.0,66.0,32350.0,437.1621621621622,400.0,5.405405405405405,76,87.0,118350.0,14284.0,1.144736842105263,1557.2368421052631,1360.344827586207,0.14942528735632185
PRV51026,0.0,0.0,0.0,0.0,0.0,0.0,76.0,56.0,19840.0,261.05263157894734,340.0,4.473684210526316,56,76.0,19840.0,340.0,1.3571428571428572,354.2857142857143,261.05263157894734,0.0
PRV51027,0.0,0.0,0.0,0.0,0.0,0.0,53.0,44.0,29840.0,563.0188679245283,0.0,0.0,44,53.0,29840.0,0.0,1.2045454545454546,678.1818181818181,563.0188679245283,0.0
PRV51029,0.0,0.0,0.0,0.0,0.0,0.0,93.0,79.0,30660.0,329.6774193548387,160.0,1.7204301075268817,79,93.0,30660.0,160.0,1.1772151898734178,388.1012658227848,329.6774193548387,0.0
PRV51030,82.0,71.0,705600.0,8604.878048780487,86508.0,1068.0,89.0,78.0,34160.0,383.82022471910113,240.0,2.696629213483146,145,171.0,739760.0,86748.0,1.1793103448275861,5101.793103448276,4326.081871345029,0.47953216374269003
PRV51031,28.0,26.0,329000.0,11750.0,29904.0,1068.0,157.0,135.0,30720.0,195.6687898089172,340.0,2.1656050955414012,157,185.0,359720.0,30244.0,1.178343949044586,2291.2101910828023,1944.4324324324325,0.15135135135135136
