peer_group,peer_median_reimbursement,peer_median_claims,peer_median_beneficiaries
Inpatient-heavy_1,114710.0,33.0,26.0
Inpatient-heavy_10,241500.0,41.0,38.0
Inpatient-heavy_11,132640.0,33.5,28.0
Inpatient-heavy_12,98800.0,26.0,26.0
Inpatient-heavy_13,85590.0,23.0,20.0
Inpatient-heavy_14,68950.0,15.0,15.0
Inpatient-heavy_15,70530.0,21.0,20.0
Inpatient-heavy_16,93265.0,21.5,18.0
Inpatient-heavy_17,99695.0,18.5,17.0
Inpatient-heavy_18,106155.0,26.0,22.5
Inpatient-heavy_19,56000.0,8.5,8.0
Inpatient-heavy_2,131310.0,20.0,14.0
Inpatient-heavy_20,148100.0,12.5,12.0
Inpatient-heavy_21,747680.0,114.0,100.0
Inpatient-heavy_22,272510.0,58.0,57.0
Inpatient-heavy_23,162710.0,26.5,24.5
Inpatient-heavy_24,103180.0,15.0,13.5
Inpatient-heavy_25,163340.0,31.0,26.0
Inpatient-heavy_26,110000.0,24.0,20.0
Inpatient-heavy_27,49565.0,17.5,14.0
Inpatient-heavy_28,155535.0,16.5,16.5
Inpatient-heavy_29,142000.0,11.5,11.0
Inpatient-heavy_3,96290.0,9.0,9.0
Inpatient-heavy_30,302000.0,29.0,24.0
Inpatient-heavy_31,146000.0,28.0,26.0
Inpatient-heavy_32,59300.0,16.0,15.0
Inpatient-heavy_33,109500.0,15.0,15.0
Inpatient-heavy_34,173700.0,34.0,31.0
Inpatient-heavy_35,39095.0,4.5,4.0
Inpatient-heavy_36,178650.0,25.0,23.0
Inpatient-heavy_37,58510.0,10.5,10.0
Inpatient-heavy_38,66000.0,10.0,10.0
Inpatient-heavy_39,177810.0,26.0,25.0
Inpatient-heavy_4,90185.0,38.5,27.5
Inpatient-heavy_41,136360.0,77.0,74.0
Inpatient-heavy_42,86940.0,13.5,12.5
Inpatient-heavy_43,88735.0,15.5,9.5
Inpatient-heavy_44,79330.0,17.5,16.5
Inpatient-heavy_45,88140.0,14.0,13.0
Inpatient-heavy_46,82075.0,16.5,15.0
Inpatient-heavy_49,92515.0,14.5,13.0
Inpatient-heavy_5,82110.0,21.0,21.0
Inpatient-heavy_50,108260.0,32.0,28.0
Inpatient-heavy_51,196500.0,41.0,38.0
Inpatient-heavy_52,122300.0,18.0,17.0
Inpatient-heavy_53,20000.0,3.0,2.0
Inpatient-heavy_54,73370.0,18.0,16.0
Inpatient-heavy_6,242320.0,57.0,47.0
Inpatient-heavy_7,173095.0,30.5,28.5
Inpatient-heavy_8,157855.0,48.5,48.0
Inpatient-heavy_9,806950.0,154.0,144.0
Outpatient-heavy_1,28770.0,55.0,44.0
Outpatient-heavy_10,24990.0,58.0,53.0
Outpatient-heavy_11,31370.0,72.0,49.0
Outpatient-heavy_12,6400.0,19.0,18.5
Outpatient-heavy_13,13415.0,35.5,28.5
Outpatient-heavy_14,6860.0,24.0,16.0
Outpatient-heavy_15,14640.0,43.0,35.0
Outpatient-heavy_16,9460.0,28.0,18.0
Outpatient-heavy_17,6000.0,17.0,12.0
Outpatient-heavy_18,16940.0,41.0,29.0
Outpatient-heavy_19,6960.0,19.0,17.0
Outpatient-heavy_2,7610.0,15.0,12.0
Outpatient-heavy_20,4705.0,23.5,20.5
Outpatient-heavy_21,5215.0,18.5,16.0
Outpatient-heavy_22,11840.0,39.0,38.0
Outpatient-heavy_23,10950.0,38.0,32.0
Outpatient-heavy_24,4385.0,15.5,11.0
Outpatient-heavy_25,10460.0,43.0,25.0
Outpatient-heavy_26,11020.0,30.0,25.0
Outpatient-heavy_27,6990.0,23.0,15.0
Outpatient-heavy_28,8280.0,33.0,14.0
Outpatient-heavy_29,6850.0,15.0,13.0
Outpatient-heavy_3,9780.0,32.0,31.0
Outpatient-heavy_30,6890.0,17.0,17.0
Outpatient-heavy_31,24350.0,50.0,50.0
Outpatient-heavy_32,6520.0,25.0,12.0
Outpatient-heavy_33,25520.0,69.0,59.0
Outpatient-heavy_34,21010.0,68.0,50.0
Outpatient-heavy_35,4155.0,20.5,10.5
Outpatient-heavy_36,8360.0,29.0,26.0
Outpatient-heavy_37,6610.0,22.0,15.5
Outpatient-heavy_38,27260.0,58.0,39.5
Outpatient-heavy_39,8530.0,32.0,26.0
Outpatient-heavy_4,28790.0,60.0,38.0
Outpatient-heavy_41,37160.0,166.0,123.0
Outpatient-heavy_42,10740.0,28.5,22.0
Outpatient-heavy_43,8310.0,24.5,13.0
Outpatient-heavy_44,20110.0,55.0,36.5
Outpatient-heavy_45,7870.0,24.0,19.0
Outpatient-heavy_46,6440.0,14.0,13.0
Outpatient-heavy_47,62310.0,156.0,90.0
Outpatient-heavy_49,24260.0,54.0,39.0
Outpatient-heavy_5,10735.0,28.0,26.0
Outpatient-heavy_50,22245.0,48.5,33.5
Outpatient-heavy_51,7480.0,26.5,19.5
Outpatient-heavy_52,11715.0,48.5,37.5
Outpatient-heavy_53,8550.0,30.5,14.0
Outpatient-heavy_54,6030.0,21.0,14.5
Outpatient-heavy_6,11110.0,28.5,23.5
Outpatient-heavy_7,17300.0,47.5,46.5
Outpatient-heavy_8,9635.0,35.0,31.5
Outpatient-heavy_9,7070.0,27.0,25.0
