Provider,Provider ID,Provider Type,Specialty,NPI,PotentialFraud
PRV001,PRV001,Outpatient-heavy,Cardiology,1000000001,No
PRV002,PRV002,Outpatient-heavy,Neurology,1000000002,No
PRV003,PRV003,Inpatient-heavy,Orthopedics,1000000003,No
PRV004,PRV004,Outpatient-heavy,Dermatology,1000000004,No
PRV005,PRV005,Inpatient-heavy,Cardiology,1000000005,Yes
PRV006,PRV006,Outpatient-heavy,Oncology,1000000006,No
PRV007,PRV007,Inpatient-heavy,Pediatrics,1000000007,Yes
PRV008,PRV008,Outpatient-heavy,Urology,1000000008,No
PRV009,PRV009,Inpatient-heavy,Cardiology,1000000009,Yes
PRV010,PRV010,Outpatient-heavy,Neurology,1000000010,No
PRV011,PRV011,Inpatient-heavy,Orthopedics,1000000011,No
PRV012,PRV012,Outpatient-heavy,Dermatology,1000000012,No
PRV013,PRV013,Inpatient-heavy,Oncology,1000000013,No
PRV014,PRV014,Outpatient-heavy,Pediatrics,1000000014,No
PRV015,PRV015,Inpatient-heavy,Urology,1000000015,No
