iter	Passed	Remaining
0	152	45639
1	157	23409
2	162	16095
3	167	12367
4	170	10048
5	173	8513
6	177	7419
7	181	6621
8	185	5986
9	188	5474
10	192	5049
11	196	4714
12	199	4412
13	203	4154
14	207	3933
15	210	3742
16	214	3574
17	218	3420
18	221	3282
19	225	3158
20	229	3046
21	232	2941
22	236	2847
23	240	2760
24	244	2690
25	248	2617
26	251	2547
27	255	2481
28	259	2426
29	263	2369
30	266	2315
31	270	2264
32	274	2218
33	277	2173
34	281	2130
35	285	2090
36	288	2053
37	293	2022
38	297	1988
39	300	1955
40	304	1922
41	308	1898
42	312	1868
43	316	1843
44	320	1815
45	324	1793
46	328	1769
47	332	1745
48	336	1725
49	340	1703
50	344	1681
51	348	1664
52	353	1646
53	357	1627
54	361	1610
55	366	1596
56	374	1597
57	380	1587
58	386	1579
59	390	1563
60	395	1547
61	399	1532
62	403	1516
63	407	1502
64	412	1489
65	417	1478
66	421	1465
67	425	1452
68	430	1439
69	434	1426
70	439	1416
71	443	1403
72	448	1394
73	452	1382
74	456	1370
75	460	1358
76	465	1347
77	469	1336
78	473	1325
79	478	1314
80	482	1305
81	486	1294
82	490	1283
83	495	1274
84	500	1265
85	504	1255
86	509	1246
87	513	1237
88	517	1227
89	521	1217
90	526	1208
91	530	1200
92	535	1190
93	539	1181
94	543	1171
95	547	1164
96	551	1154
97	555	1145
98	560	1137
99	564	1128
100	568	1119
101	571	1109
102	576	1101
103	579	1092
104	583	1083
105	587	1074
106	591	1066
107	595	1058
108	599	1049
109	602	1041
110	607	1033
111	611	1025
112	614	1017
113	618	1009
114	622	1001
115	627	995
116	631	987
117	635	979
118	639	972
119	643	964
120	647	957
121	651	950
122	654	942
123	659	935
124	663	928
125	666	920
126	670	913
127	675	907
128	678	899
129	682	892
130	686	885
131	690	878
132	693	871
133	697	864
134	701	857
135	705	850
136	709	844
137	712	836
138	716	830
139	721	824
140	725	818
141	729	811
142	733	805
143	737	799
144	741	792
145	746	787
146	751	782
147	756	776
148	759	769
149	763	763
150	767	756
151	771	751
152	775	745
153	779	738
154	783	732
155	787	726
156	790	720
157	794	714
158	798	708
159	803	702
160	807	696
161	811	690
162	814	684
163	818	678
164	822	672
165	826	667
166	830	661
167	833	655
168	838	649
169	841	643
170	845	637
171	849	632
172	853	626
173	857	620
174	861	615
175	864	609
176	869	604
177	872	598
178	876	592
179	880	586
180	884	581
181	888	576
182	892	570
183	896	564
184	900	559
185	904	554
186	908	548
187	912	543
188	916	538
189	920	533
190	925	527
191	929	522
192	935	518
193	939	513
194	943	508
195	948	503
196	952	498
197	956	492
198	960	487
199	964	482
200	968	477
201	972	471
202	975	466
203	979	460
204	983	455
205	987	450
206	990	445
207	994	439
208	998	434
209	1002	429
210	1006	424
211	1010	419
212	1014	414
213	1017	409
214	1021	403
215	1025	398
216	1029	393
217	1033	388
218	1037	383
219	1040	378
220	1044	373
221	1048	368
222	1052	363
223	1056	358
224	1059	353
225	1064	348
226	1067	343
227	1071	338
228	1075	333
229	1079	328
230	1083	323
231	1087	318
232	1091	313
233	1095	309
234	1099	304
235	1103	299
236	1107	294
237	1111	289
238	1115	284
239	1119	279
240	1123	274
241	1127	270
242	1131	265
243	1134	260
244	1138	255
245	1143	250
246	1147	246
247	1151	241
248	1155	236
249	1159	231
250	1163	227
251	1167	222
252	1170	217
253	1175	212
254	1179	208
255	1183	203
256	1187	198
257	1191	193
258	1195	189
259	1199	184
260	1202	179
261	1206	175
262	1211	170
263	1215	165
264	1219	161
265	1223	156
266	1227	151
267	1230	146
268	1234	142
269	1238	137
270	1242	132
271	1246	128
272	1250	123
273	1254	119
274	1259	114
275	1262	109
276	1266	105
277	1270	100
278	1274	95
279	1278	91
280	1281	86
281	1285	82
282	1290	77
283	1294	72
284	1297	68
285	1301	63
286	1305	59
287	1309	54
288	1312	49
289	1316	45
290	1320	40
291	1324	36
292	1328	31
293	1332	27
294	1336	22
295	1340	18
296	1344	13
297	1349	9
298	1353	4
299	1357	0
