Provider,TotalClaims,AnomalousClaims,AverageRiskScore,MaximumRiskScore,PotentialFraud,AnomalyRate
PRV51822,1,1,21.05,21.05,No,100.0
PRV51618,1,1,20.89,20.89,No,100.0
PRV55881,1,1,18.12,18.12,No,100.0
PRV54499,1,1,16.97,16.97,No,100.0
PRV56988,1,1,16.97,16.97,No,100.0
PRV57398,3,2,15.12,22.84,No,66.67
PRV55671,2,1,27.82,46.76,No,50.0
PRV57076,2,1,19.18,36.43,No,50.0
PRV57092,2,1,16.9,30.1,No,50.0
PRV53601,2,1,16.85,24.27,No,50.0
PRV53212,2,1,15.46,27.82,No,50.0
PRV53539,2,1,9.59,17.89,No,50.0
PRV56771,2,1,8.44,15.95,No,50.0
PRV54326,5,2,15.17,35.46,No,40.0
PRV53336,3,1,28.06,80.16,No,33.33
PRV53586,3,1,12.36,27.23,No,33.33
PRV57097,3,1,12.26,30.19,No,33.33
PRV53899,3,1,8.1,19.67,No,33.33
PRV54876,3,1,7.21,16.15,Yes,33.33
PRV53091,4,1,13.5,31.88,No,25.0
PRV52767,4,1,7.32,15.79,No,25.0
PRV51974,4,1,6.69,19.41,No,25.0
PRV51820,5,1,10.9,22.62,No,20.0
PRV54805,5,1,10.67,48.13,No,20.0
PRV54818,5,1,10.47,30.46,No,20.0
PRV51234,5,1,9.57,16.4,No,20.0
PRV52627,5,1,9.14,29.58,No,20.0
PRV51797,5,1,8.25,33.48,No,20.0
PRV57078,10,2,7.63,22.68,No,20.0
PRV53659,5,1,7.1,27.33,No,20.0
PRV51100,5,1,6.92,19.52,No,20.0
PRV55409,5,1,5.65,17.29,No,20.0
PRV53719,5,1,5.53,16.06,No,20.0
PRV56126,6,1,9.49,30.35,No,16.67
PRV57161,6,1,9.13,43.98,No,16.67
PRV53597,6,1,8.6,26.5,No,16.67
PRV53746,6,1,8.12,19.92,No,16.67
PRV52231,6,1,7.88,39.21,No,16.67
PRV55147,6,1,7.36,24.45,Yes,16.67
PRV57563,6,1,6.49,25.74,No,16.67
PRV52743,6,1,5.91,16.12,No,16.67
PRV56976,6,1,5.54,15.56,No,16.67
PRV51927,6,1,4.85,16.2,No,16.67
PRV54865,6,1,4.77,17.77,No,16.67
PRV54305,6,1,3.92,16.15,No,16.67
PRV56395,7,1,9.34,39.76,No,14.29
PRV56830,7,1,7.57,33.96,No,14.29
PRV52849,14,2,7.26,35.52,No,14.29
PRV51816,7,1,5.7,17.86,No,14.29
PRV56276,7,1,5.13,22.51,No,14.29
PRV52622,7,1,4.17,16.4,No,14.29
PRV57704,7,1,4.06,17.34,No,14.29
PRV56163,7,1,4.05,16.77,No,14.29
PRV55613,7,1,3.94,15.89,No,14.29
PRV51758,7,1,2.91,16.03,No,14.29
PRV55658,15,2,7.05,27.55,No,13.33
PRV56171,15,2,6.03,26.96,No,13.33
PRV57017,23,3,7.26,31.79,Yes,13.04
PRV57297,8,1,7.48,17.89,Yes,12.5
PRV56033,8,1,7.13,35.11,No,12.5
PRV57285,8,1,6.53,16.38,No,12.5
PRV51238,8,1,6.33,15.64,No,12.5
PRV57084,8,1,6.2,17.84,No,12.5
PRV53668,16,2,6.03,21.92,Yes,12.5
PRV54785,8,1,6.01,32.71,No,12.5
PRV56166,8,1,5.68,23.45,No,12.5
PRV56694,8,1,5.62,32.31,No,12.5
PRV57357,16,2,5.62,17.9,No,12.5
PRV54001,8,1,5.21,17.96,No,12.5
PRV56179,8,1,4.71,15.77,No,12.5
PRV55601,8,1,4.39,24.25,No,12.5
PRV53014,8,1,3.2,16.93,No,12.5
PRV52813,17,2,7.37,23.72,No,11.76
PRV52457,9,1,10.56,34.17,No,11.11
PRV57631,18,2,7.73,46.2,Yes,11.11
PRV55342,9,1,6.01,20.09,No,11.11
PRV56662,9,1,5.72,29.68,No,11.11
PRV54465,9,1,5.58,16.77,No,11.11
PRV55140,9,1,5.42,16.68,No,11.11
PRV53667,9,1,5.11,16.77,No,11.11
PRV56510,9,1,4.28,21.63,No,11.11
PRV56400,9,1,4.23,15.5,Yes,11.11
PRV56477,9,1,3.42,17.58,No,11.11
PRV51923,9,1,3.28,20.22,No,11.11
PRV53017,9,1,2.78,15.87,No,11.11
PRV56174,10,1,9.73,56.19,No,10.0
PRV55160,10,1,9.62,34.53,No,10.0
PRV55809,10,1,8.99,51.39,No,10.0
PRV52197,10,1,8.94,41.89,No,10.0
PRV55121,20,2,6.99,37.01,No,10.0
PRV54714,10,1,6.37,20.71,No,10.0
PRV54202,10,1,6.06,18.34,No,10.0
PRV56610,30,3,5.4,22.16,No,10.0
PRV53562,10,1,5.39,22.02,No,10.0
PRV56338,10,1,5.34,22.19,No,10.0
PRV53480,10,1,5.29,35.17,No,10.0
PRV57289,10,1,5.06,23.09,No,10.0
PRV53550,10,1,3.71,16.24,No,10.0
PRV52199,10,1,3.45,15.81,No,10.0
PRV57716,11,1,7.33,35.1,No,9.09
PRV52787,11,1,6.33,17.71,No,9.09
PRV57215,11,1,6.15,21.75,No,9.09
PRV57096,11,1,5.81,19.37,Yes,9.09
PRV52188,33,3,5.21,33.63,No,9.09
PRV53462,11,1,4.01,19.53,No,9.09
PRV57739,11,1,3.7,24.58,No,9.09
PRV51761,11,1,3.6,22.37,No,9.09
PRV57367,11,1,3.27,18.29,No,9.09
PRV54703,11,1,2.4,17.73,No,9.09
PRV57250,23,2,4.83,34.44,No,8.7
PRV52328,35,3,3.96,20.95,No,8.57
PRV54461,12,1,9.8,64.51,No,8.33
PRV51878,12,1,6.25,43.01,No,8.33
PRV52047,24,2,5.89,28.35,No,8.33
PRV57688,12,1,4.33,30.89,No,8.33
PRV51595,24,2,4.21,17.12,No,8.33
PRV55583,12,1,4.0,22.45,No,8.33
PRV56839,12,1,3.94,15.57,No,8.33
PRV54154,12,1,3.4,16.68,No,8.33
PRV56352,24,2,3.4,19.22,No,8.33
PRV56307,12,1,3.39,16.48,No,8.33
PRV51104,12,1,3.01,19.34,No,8.33
PRV54380,12,1,2.96,21.53,No,8.33
PRV52292,25,2,5.66,28.94,Yes,8.0
PRV54901,25,2,4.39,34.0,No,8.0
PRV54155,51,4,4.56,30.81,No,7.84
PRV56017,13,1,7.09,33.95,No,7.69
PRV55501,13,1,5.85,31.69,No,7.69
PRV53233,13,1,5.8,39.95,No,7.69
PRV54637,13,1,5.76,23.07,No,7.69
PRV52815,26,2,5.54,16.15,Yes,7.69
PRV53837,13,1,5.38,33.14,No,7.69
PRV52484,13,1,4.98,15.6,No,7.69
PRV56614,26,2,4.82,28.51,No,7.69
PRV54639,13,1,4.53,20.24,No,7.69
PRV54226,13,1,4.21,23.91,No,7.69
PRV53218,13,1,3.59,15.73,No,7.69
PRV57118,13,1,2.89,16.04,No,7.69
PRV56040,13,1,2.75,17.87,No,7.69
PRV56123,40,3,6.22,21.05,No,7.5
PRV56007,81,6,5.84,33.12,Yes,7.41
PRV55096,27,2,3.57,19.08,No,7.41
PRV53989,27,2,3.47,30.01,No,7.41
PRV53680,27,2,3.21,24.2,No,7.41
PRV57021,14,1,8.03,50.16,Yes,7.14
PRV56118,14,1,6.1,16.01,No,7.14
PRV57414,28,2,5.86,30.99,No,7.14
PRV57555,42,3,5.4,28.68,No,7.14
PRV53397,14,1,5.34,22.17,Yes,7.14
PRV54081,14,1,4.77,23.97,No,7.14
PRV55145,14,1,4.76,22.95,No,7.14
PRV55506,14,1,4.71,21.76,Yes,7.14
PRV53205,14,1,4.7,33.78,No,7.14
PRV52326,14,1,4.39,18.25,No,7.14
PRV54253,14,1,4.19,16.34,No,7.14
PRV52861,14,1,3.89,15.68,No,7.14
PRV52653,14,1,3.62,18.3,No,7.14
PRV54602,14,1,3.59,20.39,No,7.14
PRV57099,14,1,3.16,18.19,No,7.14
PRV51998,28,2,3.1,30.14,No,7.14
PRV52853,29,2,3.47,28.18,No,6.9
PRV53107,15,1,6.48,31.84,No,6.67
PRV56533,15,1,6.31,20.32,No,6.67
PRV57487,15,1,6.16,27.47,No,6.67
PRV52495,15,1,5.67,16.11,No,6.67
PRV53375,15,1,5.29,16.54,No,6.67
PRV56304,15,1,5.21,34.39,No,6.67
PRV52621,45,3,4.85,40.87,No,6.67
PRV55381,45,3,4.41,28.27,No,6.67
PRV51014,30,2,4.39,29.81,No,6.67
PRV57702,15,1,4.36,23.7,No,6.67
PRV56664,15,1,4.13,40.99,No,6.67
PRV55537,15,1,3.92,25.05,No,6.67
PRV57640,15,1,3.7,15.56,No,6.67
PRV51134,15,1,3.57,30.65,No,6.67
PRV57683,15,1,3.28,20.02,No,6.67
PRV53148,15,1,2.92,15.88,No,6.67
PRV53820,15,1,2.39,16.3,No,6.67
PRV53280,15,1,2.31,15.79,No,6.67
PRV54577,61,4,5.43,63.25,No,6.56
PRV52902,46,3,5.53,31.14,No,6.52
PRV55724,31,2,6.25,72.76,No,6.45
PRV56793,31,2,4.15,22.38,No,6.45
PRV52242,31,2,4.02,36.48,No,6.45
PRV54981,95,6,5.62,36.31,No,6.32
PRV56105,32,2,5.93,24.89,No,6.25
PRV55149,16,1,5.6,17.21,No,6.25
PRV56121,16,1,5.26,17.46,No,6.25
PRV54060,16,1,5.15,27.11,No,6.25
PRV51118,16,1,4.69,16.44,No,6.25
PRV52278,16,1,4.53,18.05,No,6.25
PRV54878,16,1,4.12,22.21,No,6.25
PRV57231,48,3,4.06,21.8,No,6.25
PRV51536,16,1,3.77,16.38,No,6.25
PRV51472,16,1,3.71,18.99,No,6.25
PRV51723,16,1,3.51,21.69,No,6.25
PRV51511,16,1,3.35,18.83,No,6.25
PRV53194,32,2,3.09,17.66,No,6.25
PRV54116,16,1,2.55,20.69,No,6.25
PRV57322,33,2,4.36,31.08,No,6.06
PRV53128,33,2,3.73,32.41,No,6.06
PRV54635,33,2,3.43,20.21,No,6.06
PRV53005,50,3,4.89,60.9,Yes,6.0
PRV52972,17,1,5.94,19.3,No,5.88
PRV55812,17,1,5.76,34.81,Yes,5.88
PRV56269,17,1,5.01,25.88,No,5.88
PRV52691,17,1,4.95,25.16,No,5.88
PRV54713,17,1,4.58,28.46,No,5.88
PRV55891,51,3,4.15,25.1,No,5.88
PRV55807,17,1,4.01,22.77,No,5.88
PRV56529,34,2,3.54,21.99,No,5.88
PRV54063,17,1,3.53,17.07,No,5.88
PRV55595,17,1,2.33,16.4,No,5.88
PRV57309,35,2,4.25,16.17,No,5.71
PRV54680,18,1,5.79,16.4,Yes,5.56
PRV56335,18,1,5.23,16.43,No,5.56
PRV53436,18,1,5.0,19.09,No,5.56
PRV51353,18,1,4.26,19.94,No,5.56
PRV56263,18,1,4.24,21.33,No,5.56
PRV57223,54,3,4.08,16.55,Yes,5.56
PRV51895,18,1,4.06,19.87,No,5.56
PRV56187,18,1,3.89,34.85,No,5.56
PRV52956,18,1,3.87,17.39,No,5.56
PRV53119,18,1,3.41,19.39,Yes,5.56
PRV55073,18,1,3.38,23.28,No,5.56
PRV56723,18,1,3.36,17.3,No,5.56
PRV57694,18,1,3.05,25.73,No,5.56
PRV52028,18,1,2.9,16.45,No,5.56
PRV53570,18,1,2.87,16.6,No,5.56
PRV53323,18,1,2.74,15.54,No,5.56
PRV51748,18,1,2.63,16.71,No,5.56
PRV55273,18,1,2.58,17.11,No,5.56
PRV51348,55,3,4.37,36.11,No,5.45
PRV56256,55,3,3.46,26.33,No,5.45
PRV57081,37,2,5.97,27.1,No,5.41
PRV56470,37,2,3.43,18.57,No,5.41
PRV55667,38,2,6.23,16.87,Yes,5.26
PRV51160,114,6,4.92,33.75,No,5.26
PRV55666,19,1,4.9,21.04,No,5.26
PRV51619,19,1,4.8,18.31,No,5.26
PRV53226,19,1,4.03,16.48,No,5.26
PRV57734,19,1,3.95,17.12,No,5.26
PRV53877,19,1,3.87,20.07,No,5.26
PRV55093,19,1,3.65,35.21,No,5.26
