Provider,Total_Claims,Total_Reimbursed,Avg_Reimbursed,Total_Deductible,Unique_Beneficiaries,Unique_Diagnosis_Codes,Unique_Procedure_Codes,Unique_Attending_Physicians,Inpatient_Claims,Outpatient_Claims,Services_Per_Beneficiary,Reimbursed_Per_Beneficiary,Inpatient_Ratio,PotentialFraud,Peer_Group,Group_Size,STATUS
PRV51096,5,3200,640.0,100.0,5,5,0,3,0,5,1.0,640.0,0.0,No,Infectious,22,INSUFFICIENT_PEERS
PRV51131,8,1160,145.0,70.0,8,8,0,4,0,8,1.0,145.0,0.0,No,Blood,27,INSUFFICIENT_PEERS
PRV51212,15,6260,417.3333333333333,70.0,15,15,0,2,0,15,1.0,417.3333333333333,0.0,No,Blood,27,INSUFFICIENT_PEERS
PRV51222,5,860,172.0,0.0,3,5,0,2,0,5,1.6666666666666667,286.6666666666667,0.0,No,Infectious,22,INSUFFICIENT_PEERS
PRV51409,4,300,75.0,0.0,4,4,0,4,0,4,1.0,75.0,0.0,No,Skin,18,INSUFFICIENT_PEERS
PRV51692,11,970,88.18181818181819,0.0,11,11,0,1,0,11,1.0,88.18181818181819,0.0,No,Skin,18,INSUFFICIENT_PEERS
PRV51706,2,330,165.0,0.0,2,2,0,1,0,2,1.0,165.0,0.0,No,Congenital,2,INSUFFICIENT_PEERS
PRV51722,1,30,30.0,0.0,1,0,0,1,0,1,1.0,30.0,0.0,No,Unknown,11,INSUFFICIENT_PEERS
PRV51727,3,1950,650.0,0.0,3,2,0,1,0,3,1.0,650.0,0.0,No,Unknown,11,INSUFFICIENT_PEERS
PRV51755,6,590,98.33333333333331,0.0,6,5,0,1,0,6,1.0,98.33333333333331,0.0,No,Blood,27,INSUFFICIENT_PEERS
PRV51823,11,44530,4048.181818181818,8544.0,11,11,1,2,8,3,1.0,4048.181818181818,0.7272727272727273,No,Infectious,22,INSUFFICIENT_PEERS
PRV52460,13,90000,6923.076923076923,13884.0,9,13,6,2,13,0,1.4444444444444444,10000.0,1.0,No,Infectious,22,INSUFFICIENT_PEERS
PRV52523,3,480,160.0,0.0,3,3,0,3,0,3,1.0,160.0,0.0,No,Infectious,22,INSUFFICIENT_PEERS
PRV52547,2,3020,1510.0,0.0,2,2,0,1,0,2,1.0,1510.0,0.0,No,Blood,27,INSUFFICIENT_PEERS
PRV52672,3,390,130.0,0.0,2,3,0,1,0,3,1.5,195.0,0.0,No,Skin,18,INSUFFICIENT_PEERS
PRV52752,2,560,280.0,0.0,2,2,0,1,0,2,1.0,280.0,0.0,No,Blood,27,INSUFFICIENT_PEERS
PRV52757,1,50,50.0,0.0,1,0,0,1,0,1,1.0,50.0,0.0,No,Unknown,11,INSUFFICIENT_PEERS
PRV52778,1,100,100.0,0.0,1,1,0,1,0,1,1.0,100.0,0.0,No,Infectious,22,INSUFFICIENT_PEERS
PRV52816,1,3000,3000.0,1068.0,1,1,0,1,1,0,1.0,3000.0,1.0,No,Skin,18,INSUFFICIENT_PEERS
PRV52931,14,3010,215.0,150.0,14,14,0,7,0,14,1.0,215.0,0.0,No,Blood,27,INSUFFICIENT_PEERS
PRV52966,3,710,236.66666666666663,0.0,3,3,0,1,0,3,1.0,236.66666666666663,0.0,No,Skin,18,INSUFFICIENT_PEERS
PRV53021,28,216950,7748.214285714285,19224.0,21,26,10,4,18,10,1.3333333333333333,10330.952380952382,0.6428571428571429,Yes,Infectious,22,INSUFFICIENT_PEERS
