Provider,Fraud_Label,IP_Claim_Count,IP_Unique_Beneficiaries,IP_Total_Reimbursement,IP_Avg_Reimbursement,IP_Total_Deductible,IP_Avg_Deductible,Average_Length_Of_Stay,Same_Day_Discharge_Count,Same_Day_Discharge_Ratio,OP_Claim_Count,OP_Unique_Beneficiaries,OP_Total_Reimbursement,OP_Avg_Reimbursement,OP_Total_Deductible,OP_Avg_Deductible,Total_Claim_Count,Total_Unique_Beneficiaries,Claims_Per_Beneficiary,Total_Reimbursement,Reimbursement_Per_Claim,Reimbursement_Per_Beneficiary,Total_Deductible,IP_Claim_Share,OP_Claim_Share,Unique_Diagnosis_Codes,Total_Diagnosis_Codes,Unique_Procedure_Codes,Total_Procedure_Codes,Diagnosis_Diversity,Avg_Diagnosis_Codes_Per_Claim,Procedure_Diversity,Avg_Procedure_Codes_Per_Claim,Average_Beneficiary_Age,Male_Count,Female_Count,Total_Beneficiaries,Male_Ratio,Female_Ratio,Average_Chronic_Condition_Count,Pct_Diabetes,Pct_HeartFailure,Pct_KidneyDisease,Pct_Cancer,Pct_Stroke,Unique_Attending_Physicians,Unique_Operating_Physicians,Unique_Other_Physicians,Total_Unique_Physicians,Physician_Diversity
PRV51001,0,5.0,5.0,97000.0,19400.0,5340.0,1068.0,5.0,1.0,0.2,20.0,19.0,7640.0,382.0,0.0,0.0,25.0,24.0,1.0416666666666667,104640.0,4185.6,4360.0,5340.0,0.2,0.8,72.0,80.0,3.0,3.0,2.88,3.2,0.12,0.12,78.66974674880218,9,15,24,0.375,0.625,11.0,1.0,1.0,1.0,1.0,1.0,14,5.0,8.0,19,0.76
PRV51003,1,62.0,53.0,573000.0,9241.935483870968,66216.0,1068.0,5.161290322580645,0.0,0.0,70.0,66.0,32670.0,466.7142857142857,70.0,1.0,132.0,119.0,1.1092436974789917,605670.0,4588.409090909091,5089.663865546218,66286.0,0.4696969696969697,0.5303030303030303,365.0,693.0,39.0,48.0,2.765151515151515,5.25,0.29545454545454547,0.36363636363636365,69.47366573649941,49,68,117,0.4188034188034188,0.5811965811965812,11.0,1.0,1.0,1.0,1.0,1.0,44,7.0,22.0,51,0.38636363636363635
PRV51004,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,138.0,52170.0,350.13422818791946,310.0,2.0805369127516777,149.0,138.0,1.0797101449275361,52170.0,350.13422818791946,378.04347826086956,310.0,0.0,1.0,267.0,385.0,0.0,0.0,1.7919463087248322,2.5838926174496644,0.0,0.0,72.94608616294181,45,93,138,0.32608695652173914,0.6739130434782609,11.0,1.0,1.0,1.0,1.0,1.0,38,19.0,26.0,48,0.3221476510067114
PRV51005,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1165.0,495.0,280910.0,241.1244635193133,3700.0,3.1759656652360513,1165.0,495.0,2.3535353535353534,280910.0,241.1244635193133,567.4949494949495,3700.0,0.0,1.0,1294.0,3016.0,0.0,0.0,1.1107296137339056,2.5888412017167384,0.0,0.0,70.51753952944918,208,287,495,0.4202020202020202,0.5797979797979798,11.0,1.0,1.0,1.0,1.0,1.0,6,6.0,4.0,7,0.006008583690987125
PRV51007,0,3.0,3.0,19000.0,6333.333333333333,3204.0,1068.0,5.333333333333333,0.0,0.0,69.0,56.0,14710.0,213.18840579710144,60.0,0.8695652173913043,72.0,59.0,1.2203389830508475,33710.0,468.19444444444446,571.3559322033898,3264.0,0.041666666666666664,0.9583333333333334,165.0,215.0,1.0,1.0,2.2916666666666665,2.986111111111111,0.013888888888888888,0.013888888888888888,68.48658217092685,27,31,58,0.46551724137931033,0.5344827586206896,11.0,1.0,1.0,1.0,1.0,1.0,10,5.0,7.0,11,0.1527777777777778
PRV51008,0,2.0,2.0,25000.0,12500.0,2136.0,1068.0,4.0,0.0,0.0,41.0,34.0,10630.0,259.2682926829268,180.0,4.390243902439025,43.0,36.0,1.1944444444444444,35630.0,828.6046511627907,989.7222222222222,2316.0,0.046511627906976744,0.9534883720930233,98.0,136.0,2.0,2.0,2.2790697674418605,3.1627906976744184,0.046511627906976744,0.046511627906976744,75.24229979466119,16,20,36,0.4444444444444444,0.5555555555555556,11.0,1.0,1.0,1.0,1.0,1.0,10,5.0,5.0,12,0.27906976744186046
PRV51011,0,1.0,1.0,5000.0,5000.0,1068.0,1068.0,5.0,0.0,0.0,57.0,52.0,11630.0,204.03508771929825,300.0,5.2631578947368425,58.0,53.0,1.0943396226415094,16630.0,286.7241379310345,313.77358490566036,1368.0,0.017241379310344827,0.9827586206896551,120.0,147.0,0.0,0.0,2.0689655172413794,2.5344827586206895,0.0,0.0,73.7148760864231,24,29,53,0.4528301886792453,0.5471698113207547,11.0,1.0,1.0,1.0,1.0,1.0,28,10.0,15.0,41,0.7068965517241379
PRV51012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,31.0,16890.0,351.875,100.0,2.0833333333333335,48.0,31.0,1.5483870967741935,16890.0,351.875,544.8387096774194,100.0,0.0,1.0,105.0,123.0,0.0,0.0,2.1875,2.5625,0.0,0.0,76.0964430019209,8,23,31,0.25806451612903225,0.7419354838709677,11.0,1.0,1.0,1.0,1.0,1.0,14,3.0,13.0,24,0.5
PRV51013,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,44.0,14880.0,323.4782608695652,230.0,5.0,46.0,44.0,1.0454545454545454,14880.0,323.4782608695652,338.1818181818182,230.0,0.0,1.0,103.0,117.0,0.0,0.0,2.239130434782609,2.5434782608695654,0.0,0.0,74.56381059050464,12,32,44,0.2727272727272727,0.7272727272727273,11.0,1.0,1.0,1.0,1.0,1.0,9,5.0,4.0,11,0.2391304347826087
PRV51014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,25.0,10480.0,349.3333333333333,120.0,4.0,30.0,25.0,1.2,10480.0,349.3333333333333,419.2,120.0,0.0,1.0,93.0,110.0,0.0,0.0,3.1,3.6666666666666665,0.0,0.0,72.35624914442162,7,18,25,0.28,0.72,11.0,1.0,1.0,1.0,1.0,1.0,7,6.0,8.0,9,0.3
