Provider,total_claims,inpatient_claims,outpatient_claims,inpatient_ratio,total_beneficiaries,claims_per_beneficiary,total_reimbursement,mean_reimbursement,max_reimbursement,total_deductible,mean_deductible,reimbursement_per_beneficiary,unique_attending,unique_operating,unique_other,mean_diagnosis_count,mean_procedure_count,unique_diagnosis_codes,unique_procedure_codes,mean_patient_age,mean_patient_chronic_conds,patient_death_rate,renal_disease_rate,unique_states,unique_counties,primary_state,mean_claim_duration,mean_admission_duration,PotentialFraud
PRV51001,25,5,20,0.2,24,1.0416666666666667,104640,4185.6,42000,5340.0,213.6,4360.0,14,5,8,3.2,0.12,72,3,78.28,5.56,0.0,0.32,1,7,1,1.44,5.0,0
PRV51003,132,62,70,0.4696969696969697,117,1.1282051282051282,605670,4588.409090909091,57000,66286.0,502.1666666666667,5176.666666666667,44,7,22,5.25,0.36363636363636365,365,39,69.5530303030303,4.545454545454546,0.007575757575757576,0.2196969696969697,3,23,1,3.6742424242424243,5.161290322580645,1
PRV51004,149,0,149,0.0,138,1.0797101449275361,52170,350.13422818791946,3300,310.0,2.0805369127516777,378.04347826086956,38,19,26,2.5838926174496644,0.0,267,0,71.81208053691275,4.342281879194631,0.006711409395973154,0.15436241610738255,9,28,1,1.429530201342282,0.0,0
PRV51005,1165,0,1165,0.0,495,2.3535353535353534,280910,241.1244635193133,4080,3700.0,3.1759656652360513,567.4949494949495,6,6,4,2.5888412017167384,0.0,1294,0,70.00085836909871,4.335622317596567,0.0034334763948497852,0.2223175965665236,4,26,1,1.088412017167382,0.0,1
PRV51007,72,3,69,0.041666666666666664,58,1.2413793103448276,33710,468.19444444444446,10000,3264.0,45.333333333333336,581.2068965517242,10,5,7,2.986111111111111,0.013888888888888888,165,1,68.79166666666667,4.166666666666667,0.013888888888888888,0.1527777777777778,2,6,1,0.9583333333333334,5.333333333333333,0
PRV51008,43,2,41,0.046511627906976744,36,1.1944444444444444,35630,828.6046511627907,21000,2316.0,53.86046511627907,989.7222222222222,10,5,5,3.1627906976744184,0.046511627906976744,98,2,75.04651162790698,3.9069767441860463,0.0,0.23255813953488372,2,9,1,1.5348837209302326,4.0,0
PRV51011,58,1,57,0.017241379310344827,53,1.0943396226415094,16630,286.7241379310345,5000,1368.0,23.586206896551722,313.77358490566036,28,10,15,2.5344827586206895,0.0,120,0,73.86206896551724,4.586206896551724,0.017241379310344827,0.20689655172413793,1,9,1,0.5517241379310345,5.0,0
PRV51012,48,0,48,0.0,31,1.5483870967741935,16890,351.875,3300,100.0,2.0833333333333335,544.8387096774194,14,3,13,2.5625,0.0,105,0,74.02083333333333,4.625,0.0,0.14583333333333334,3,6,1,3.7083333333333335,0.0,0
PRV51013,46,0,46,0.0,44,1.0454545454545454,14880,323.4782608695652,1800,230.0,5.0,338.1818181818182,9,5,4,2.5434782608695654,0.0,103,0,74.0,4.413043478260869,0.0,0.2391304347826087,2,8,1,1.4565217391304348,0.0,0
PRV51014,30,0,30,0.0,25,1.2,10480,349.3333333333333,3300,120.0,4.0,419.2,7,6,8,3.6666666666666665,0.0,93,0,70.63333333333334,4.333333333333333,0.03333333333333333,0.26666666666666666,2,6,1,0.4666666666666667,0.0,0
