Provider,total_claims,inpatient_claims,outpatient_claims,inpatient_ratio,total_beneficiaries,claims_per_beneficiary,total_reimbursement,mean_reimbursement,max_reimbursement,total_deductible,mean_deductible,reimbursement_per_beneficiary,unique_attending,unique_operating,unique_other,mean_diagnosis_count,mean_procedure_count,unique_diagnosis_codes,unique_procedure_codes,mean_patient_age,mean_patient_chronic_conds,patient_death_rate,renal_disease_rate,unique_states,unique_counties,primary_state,mean_claim_duration,mean_admission_duration,PotentialFraud,provider_type,peer_group,peer_median_reimbursement,peer_median_claims,peer_median_beneficiaries,reimbursement_ratio,claims_ratio,beneficiary_ratio,reimbursement_ratio_score,claims_ratio_score,beneficiary_ratio_score,robust_z_total_reimbursement,robust_z_total_claims,robust_z_claims_per_beneficiary,robust_z_reimbursement_score,robust_z_claims_score,robust_z_cpb_score,reimbursement_percentile,claims_percentile,beneficiary_percentile,ml_score,statistical_score,peer_score,risk_score,risk_level
PRV51001,25,5,20,0.2,24,1.0416666666666667,104640,4185.6,42000,5340.0,213.6,4360.0,14,5,8,3.2,0.12,72,3,78.28,5.56,0.0,0.32,1,7,1,1.44,5.0,0,Inpatient-heavy,Inpatient-heavy_1,114710.0,33.0,26.0,0.9122134077238253,0.7575757575757576,0.9230769230769231,0.0,0.0,0.0,3.0379837313616647,-0.15565171372536812,-0.3899931182334081,60.759674627233295,0.0,0.0,78.15157116451017,44.77818853974122,48.93715341959334,8.883328978921895,20.253224875744433,0.0,9.629299054292087,Low
PRV51003,132,62,70,0.4696969696969697,117,1.1282051282051282,605670,4588.409090909091,57000,66286.0,502.1666666666667,5176.666666666667,44,7,22,5.25,0.3636363636363636,365,39,69.5530303030303,4.545454545454546,0.0075757575757575,0.2196969696969697,3,23,1,3.674242424242424,5.161290322580645,1,Inpatient-heavy,Inpatient-heavy_1,114710.0,33.0,26.0,5.280010461162933,4.0,4.5,100.0,100.0,100.0,20.980118332931006,2.620137181043697,0.2008865981947483,100.0,52.402743620873935,4.017731963894966,96.46950092421442,82.56007393715342,86.22920517560074,39.06525876819482,52.1401585282563,100.0,61.26815106575482,High
PRV51004,149,0,149,0.0,138,1.079710144927536,52170,350.13422818791946,3300,310.0,2.0805369127516777,378.0434782608696,38,19,26,2.5838926174496644,0.0,267,0,71.81208053691275,4.342281879194631,0.0067114093959731,0.1543624161073825,9,28,1,1.429530201342282,0.0,0,Outpatient-heavy,Outpatient-heavy_1,28770.0,55.0,44.0,1.8133472367049008,2.709090909090909,3.1363636363636362,27.111574556830025,56.96969696969697,71.2121212121212,1.1590068187130345,3.06115036993224,-0.13023440231571853,23.18013637426069,61.2230073986448,0.0,67.06099815157116,84.68576709796672,88.64140480591497,5.496460418798975,28.134381257635166,51.76446424621607,26.16823781867496,Low
PRV51005,1165,0,1165,0.0,495,2.3535353535353534,280910,241.1244635193133,4080,3700.0,3.1759656652360517,567.4949494949495,6,6,4,2.5888412017167384,0.0,1294,0,70.00085836909871,4.335622317596567,0.0034334763948497,0.2223175965665236,4,26,1,1.088412017167382,0.0,1,Outpatient-heavy,Outpatient-heavy_1,28770.0,55.0,44.0,9.763990267639903,21.181818181818183,11.25,100.0,100.0,100.0,9.3503004912735,29.418173894094576,8.567372010605105,100.0,100.0,100.0,91.38632162661737,98.8170055452865,98.09611829944546,32.998670495030034,100.0,100.0,73.19946819801201,High
PRV51007,72,3,69,0.0416666666666666,58,1.2413793103448276,33710,468.19444444444446,10000,3264.0,45.333333333333336,581.2068965517242,10,5,7,2.986111111111111,0.0138888888888888,165,1,68.79166666666667,4.166666666666667,0.0138888888888888,0.1527777777777778,2,6,1,0.9583333333333334,5.333333333333333,0,Outpatient-heavy,Outpatient-heavy_1,28770.0,55.0,44.0,1.1717066388599235,1.309090909090909,1.3181818181818181,5.723554628664118,10.303030303030303,10.606060606060604,0.49794499657669533,1.0636200437900156,0.9736335070356589,9.958899931533907,21.27240087580031,19.472670140713177,59.40850277264326,70.73937153419594,72.48613678373383,4.365065244096409,16.901323649349134,8.877548512585008,9.479687746218806,Low
PRV51008,43,2,41,0.0465116279069767,36,1.1944444444444444,35630,828.6046511627907,21000,2316.0,53.86046511627907,989.7222222222222,10,5,5,3.1627906976744184,0.0465116279069767,98,2,75.04651162790698,3.9069767441860463,0.0,0.2325581395348837,2,9,1,1.5348837209302326,4.0,0,Outpatient-heavy,Outpatient-heavy_1,28770.0,55.0,44.0,1.2384428223844282,0.7818181818181819,0.8181818181818182,7.9480940794809385,0.0,0.0,0.5667011557588064,0.31130342745073625,0.6531648996582757,11.334023115176128,6.226068549014725,13.063297993165515,60.425138632162664,57.902033271719034,60.0184842883549,3.64311484910986,10.207796552452123,2.649364693160313,5.314394313327675,Low
PRV51011,58,1,57,0.0172413793103448,53,1.0943396226415094,16630,286.7241379310345,5000,1368.0,23.58620689655172,313.7735849056604,28,10,15,2.534482758620689,0.0,120,0,73.86206896551724,4.586206896551724,0.0172413793103448,0.2068965517241379,1,9,1,0.5517241379310345,5.0,0,Outpatient-heavy,Outpatient-heavy_1,28770.0,55.0,44.0,0.5780326729231838,1.0545454545454545,1.2045454545454546,0.0,1.818181818181815,6.818181818181819,-0.11369833614750145,0.7004327117641566,-0.030345156661833114,0.0,14.00865423528313,0.0,47.11645101663586,65.36968576709796,70.25878003696859,4.709980933962994,4.669551411761043,2.8787878787878785,4.148494160749874,Low
PRV51012,48,0,48,0.0,31,1.5483870967741935,16890,351.875,3300,100.0,2.083333333333333,544.8387096774194,14,3,13,2.5625,0.0,105,0,74.02083333333333,4.625,0.0,0.1458333333333333,3,6,1,3.7083333333333335,0.0,0,Outpatient-heavy,Outpatient-heavy_1,28770.0,55.0,44.0,0.5870698644421272,0.8727272727272727,0.7045454545454546,0.0,0.0,0.0,-0.10438760625825724,0.4410131888885431,3.0698652930143777,0.0,8.820263777770862,61.39730586028755,47.35674676524953,60.69316081330869,56.17375231053604,6.747405918651291,23.405856546019475,0.0,9.72071933126636,Low
PRV51013,46,0,46,0.0,44,1.0454545454545454,14880,323.4782608695652,1800,230.0,5.0,338.1818181818182,9,5,4,2.5434782608695654,0.0,103,0,74.0,4.413043478260869,0.0,0.2391304347826087,2,8,1,1.4565217391304348,0.0,0,Outpatient-heavy,Outpatient-heavy_1,28770.0,55.0,44.0,0.5172054223149114,0.8363636363636363,1.0,0.0,0.0,0.0,-0.1763667104020298,0.3891292843134203,-0.3641296963022101,0.0,7.782585686268407,0.0,45.138632162661736,59.73197781885398,65.35120147874306,2.279640366003435,2.5941952287561354,0.0,1.6901147150282145,Low
PRV51014,30,0,30,0.0,25,1.2,10480,349.3333333333333,3300,120.0,4.0,419.2,7,6,8,3.6666666666666665,0.0,93,0,70.63333333333334,4.333333333333333,0.0333333333333333,0.2666666666666666,2,6,1,0.4666666666666667,0.0,0,Outpatient-heavy,Outpatient-heavy_1,28770.0,55.0,44.0,0.3642683350712548,0.5454545454545454,0.5681818181818182,0.0,0.0,0.0,-0.33393290852770113,-0.025941952287561354,0.6910979184907005,0.0,0.0,13.821958369814007,39.26062846580407,49.20517560073937,50.157116451016634,5.657288916245062,4.607319456604669,0.0,3.645111403479426,Low
