Rndrng_NPI,Rndrng_Prvdr_State_Abrvtn,Rndrng_Prvdr_Zip5,Rndrng_Prvdr_Type,Rndrng_Prvdr_Mdcr_Prtcptg_Ind,Tot_Sbmtd_Chrg,Tot_Mdcr_Pymt_Amt,Tot_Mdcr_Stdzd_Amt,Bene_Avg_Age,anomaly_score,known_exclusion
1598315574,NJ,7927.0,Clinical Laboratory,1,173098184.28,21000362.46,21014744.85,78,10.397465681706258,False
1356432140,ID,83706.0,Centralized Flu,1,38554692.78,30424449.32,30480771.4,75,10.397465681706258,False
1235315268,MD,21740.0,Ophthalmology,1,36188147.1,15135415.92,15286654.58,76,10.397465681706258,False
1336209345,OR,97701.0,Plastic and Reconstructive Surgery,1,43704423.14,33460210.49,33470087.79,73,10.397465681706258,False
1518111426,CA,93277.0,Physician Assistant,1,56372355.04,42629836.78,42613373.21,75,10.397465681706258,False
1386627966,CA,90007.0,Pharmacy,1,22083381.99,15830845.77,15830835.53,66,10.397465681706258,False
1750676870,TX,77701.0,Ambulance Service Provider,1,126052747.3,18485880.42,17605251.15,77,10.397465681706258,False
1417915653,PA,15086.0,Pharmacy,1,94651018.67,54219102.92,55854071.34,67,10.397465681706258,False
1043382302,PA,15146.0,Pharmacy,1,46218893.02,15270150.57,15310719.68,64,10.397465681706258,False
1982246575,CA,94010.0,Ambulatory Surgical Center,1,3914830.0,1816469.85,1478872.14,81,10.397465681706258,False
1447437355,CA,92656.0,Clinical Laboratory,1,91260855.0,44617235.95,43140025.02,75,10.397465681706258,False
1992489728,AZ,85205.0,Nurse Practitioner,1,18349029.22,14377644.52,14378122.12,82,10.397465681706258,False
1770830606,IL,60181.0,Independent Diagnostic Testing Facility (IDTF),1,148296000.0,25868607.21,25871148.0,75,10.397465681706258,False
1366479099,CA,91304.0,Clinical Laboratory,1,799211469.08,95875796.12,96014150.46,73,10.397465681706258,False
1669736427,CA,93309.0,General Surgery,1,109229737.0,77336540.62,77330223.83,69,10.397465681706258,False
1770734253,AZ,85014.0,Clinical Laboratory,1,93039450.0,74175514.11,74190492.79,75,10.397465681706258,False
1053686964,AR,72118.0,Clinical Laboratory,1,33646863.24,14212416.78,15074998.3,73,10.397465681706258,False
1275232142,WI,54311.0,Nurse Practitioner,1,2836663.16,1911941.39,1912040.2,70,10.397465681705764,False
1376536862,FL,34209.0,Internal Medicine,1,2573425.54,6437.37,6375.68,68,10.397465681687816,False
1851636435,AZ,85268.0,Clinical Laboratory,1,477180.84,392758.25,392758.25,82,10.397465654418182,False
1063734739,OH,44103.0,Clinical Laboratory,1,73807229.8,10339870.93,10359937.15,75,10.397465647534002,False
1093753303,TN,37217.0,Pathology,1,3962075.54,1292014.49,1309489.06,72,10.397465021825898,False
1548789183,AZ,85258.0,Ambulatory Surgical Center,1,2996813.82,492752.56,499102.14,75,10.39746436363795,False
1215971668,GA,30040.0,Infectious Disease,1,5747568.5,1563472.7,1561557.51,77,10.397461100424804,False
1417304171,TX,75093.0,Ambulatory Surgical Center,1,21154266.3,1908736.95,1966811.41,76,10.39745443029204,False
1396321022,MS,38671.0,Clinical Laboratory,1,10228124.89,1442148.91,1445445.0,65,10.397421050547038,False
1619911971,MA,1104.0,Ambulance Service Provider,1,93007815.91,8729768.45,8561468.79,75,10.397405724637288,False
1780177790,GA,30033.0,Physician Assistant,1,1363240.0,5984.23,5659.04,76,10.397274228479295,False
1447760814,NJ,7058.0,Clinical Laboratory,1,11785806.28,6747658.16,6752453.24,76,10.396931224312606,False
1548278138,FL,33486.0,Plastic and Reconstructive Surgery,1,21717027.35,15176799.17,15120572.02,80,10.395915160506693,False
1205591096,FL,33186.0,Nurse Practitioner,1,15273489.28,11172878.19,11169250.62,75,10.395528582813705,False
1346713989,CA,92630.0,Clinical Laboratory,1,9466975.0,3536033.81,3536622.11,76,10.395074488565774,False
1306887260,MI,48601.0,Ambulance Service Provider,1,24669081.9,10321577.13,9268378.2,75,10.394219339648092,False
1083785398,WA,98502.0,Ambulatory Surgical Center,1,22556361.78,6794869.95,6660871.25,72,10.393833469401972,False
1477629574,FL,33309.0,Centralized Flu,1,2756496.99,2238121.54,2256570.34,75,10.388568417096845,False
1417952847,FL,33009.0,Nurse Practitioner,1,20681566.56,15071371.8,15068897.89,76,10.386831074654033,False
1942305941,TX,77090.0,Internal Medicine,1,2953136.12,5410.59,5416.23,69,10.38545777371819,False
1194812883,TX,77027.0,Emergency Medicine,1,1215088.0,2112.4,2056.1,66,10.385457773700809,False
1104286087,TX,75702.0,Ambulance Service Provider,1,32501288.3,7701928.16,7092254.23,77,10.383212340776733,False
1205098696,CA,92625.0,Dermatology,1,25094966.68,16412752.97,15809474.08,77,10.381034687568466,False
1285391821,CO,80233.0,Physician Assistant,1,21390270.28,14908017.56,14907488.92,76,10.372080274767741,False
1770887572,KY,40206.0,Preventive Medicine,1,17092535.83,11860457.25,11865138.44,83,10.37208027476632,False
1942702394,MN,55416.0,Pharmacy,1,122259.2,119815.09,120352.7,74,10.370094803197594,False
1841962289,NM,87102.0,Clinical Laboratory,1,25609179.85,7387600.8,7497730.65,73,10.368502598141164,False
1477729259,CA,94606.0,Family Practice,1,5200.03,4882.01,5177.24,72,10.361252641341657,False
1225010838,NJ,7203.0,Ambulance Service Provider,1,30296280.21,6263292.04,5707216.36,79,10.358310172617474,False
1609491216,NY,11234.0,Clinical Laboratory,1,12968429.13,6042299.34,6042801.02,81,10.356942889178297,False
1851557813,FL,33196.0,Internal Medicine,1,15369451.52,11422379.44,11444158.25,69,10.354877472530776,False
1760465207,SD,57701.0,Ambulatory Surgical Center,1,5782928.39,1012755.35,1100756.81,72,10.353416354928017,False
1720029960,UT,84107.0,Clinical Laboratory,1,7884447.84,3396118.38,3508384.14,75,10.352315963762678,False
1306031034,CA,90505.0,Ambulatory Surgical Center,1,2183072.52,167118.35,143201.51,71,10.349952016116797,False
1982240388,TX,78852.0,Ambulance Service Provider,1,2434207.2,200827.9,205573.44,68,10.343223988570982,False
1346865078,FL,32504.0,Ambulatory Surgical Center,1,17533477.0,2812413.65,3181624.76,73,10.337866248894501,False
1841351566,FL,32224.0,Pathology,1,4780832.02,717732.85,719541.11,73,10.336212466868437,False
1891473203,OR,97213.0,Clinical Laboratory,1,26205419.72,4290877.47,4308909.01,74,10.331995542572702,False
1649767948,WA,99204.0,Clinical Laboratory,1,9662256.64,1541185.31,1541479.09,73,10.329113051196437,False
1699769075,DC,20016.0,Podiatry,1,36922637.94,20677147.03,20651958.97,76,10.326892758429587,False
1447375282,TX,77002.0,Ambulance Service Provider,1,34359213.8,6705783.53,7157026.06,76,10.324371591433222,False
1427588029,MD,21117.0,Clinical Laboratory,1,6450759.5,3254968.0,3255003.58,80,10.31968136857287,False
1790944668,MA,1655.0,Neurosurgery,1,14858933.92,138771.69,125418.82,75,10.315796796404284,False
1912627712,LA,70001.0,Ambulatory Surgical Center,1,1061862.59,231966.99,256203.98,72,10.313210179470008,False
1316966575,TX,77098.0,Micrographic Dermatologic Surgery,1,38880664.94,18243493.52,18304436.72,75,10.310878223647732,False
1134138530,GA,30060.0,Pathology,1,11839815.85,2533072.54,2609715.46,72,10.307443053004242,False
1023880861,TX,75080.0,Clinical Laboratory,1,17838152.55,7759461.49,7759461.49,74,10.306990448552783,False
1508643610,NY,10019.0,Ambulatory Surgical Center,1,336812.66,43171.37,36387.0,70,10.287891407919318,False
1518139534,MO,63146.0,Mass Immunizer Roster Biller,1,28283.83,24393.66,24547.38,82,10.280555567274304,False
1356442107,NY,11777.0,Internal Medicine,1,149750.0,20869.09,18398.38,76,10.273731789668108,False
1578579751,NY,10021.0,Plastic and Reconstructive Surgery,1,1342580.0,43154.08,26949.44,73,10.273335993748518,False
1073168696,CA,92586.0,Physical Therapist in Private Practice,1,2465.0,19.67,14.19,75,10.266182894754571,False
1891909941,NJ,7058.0,Clinical Laboratory,1,56424768.63,10465142.58,9973485.29,76,10.253923269490205,False
1275578437,FL,33619.0,Ambulance Service Provider,1,10760645.19,5390437.91,5978701.47,78,10.25200300685854,False
1457992604,MD,21061.0,Independent Diagnostic Testing Facility (IDTF),1,1870000.0,382444.68,356956.63,71,10.237356034864094,False
1700831401,PA,15122.0,Ambulance Service Provider,1,48689873.2,8235702.0,10112188.36,73,10.231848809581843,False
1891840401,FL,33147.0,Ambulance Service Provider,1,10590855.16,5269475.52,5353267.21,79,10.229931286008737,False
1962072751,TX,77433.0,Nurse Practitioner,1,3599216.0,2593703.22,2593411.79,73,10.22733297071226,False
1477559839,CO,80525.0,Ambulatory Surgical Center,1,11465179.0,4899723.95,4974629.71,74,10.224359251700385,False
1508574518,IL,62801.0,Ambulatory Surgical Center,1,12311733.77,515342.01,562093.9,73,10.218134443310399,False
1144326307,FL,32086.0,Ambulatory Surgical Center,1,5616962.82,2093292.66,2252172.49,74,10.210340271684434,False
1639602683,NV,89166.0,Nurse Practitioner,1,7462112.4,5810096.43,5811305.68,72,10.202441300564997,False
1770936791,NY,10035.0,Nurse Practitioner,1,12109671.7,9226738.03,9206374.09,83,10.197659286508795,False
1740901396,AZ,85308.0,Ambulatory Surgical Center,1,8772008.66,2181496.03,2199036.52,76,10.152755231142939,False
1003468745,OK,73114.0,Nurse Practitioner,1,25285238.36,9984756.0,9968057.6,74,10.13064750021658,False
1912448945,AR,72703.0,Pharmacy,1,735792.76,318293.0,318293.04,70,10.107540009748487,False
1770749764,WI,54665.0,Mass Immunizer Roster Biller,1,1240.0,1185.2,1185.2,77,10.094907207084685,False
1699894378,TX,77459.0,Nurse Practitioner,1,4613021.17,3580961.11,3581819.22,85,10.044162285997757,False
1497808711,CA,91402.0,Ambulance Service Provider,1,17989454.82,3109301.33,2766211.29,74,9.956864548489694,False
1376536482,OR,97701.0,Ambulatory Surgical Center,1,43413101.4,6243248.54,5986677.06,73,9.908955029288181,False
1689672743,DC,20007.0,Interventional Radiology,1,14577303.23,3937036.93,3393062.41,77,9.886561335912052,False
1093136418,CA,94545.0,Clinical Laboratory,1,7819612.92,5769118.84,5773741.58,68,9.867883031062147,False
1588301493,TN,37067.0,Clinical Laboratory,1,71550.0,46746.0,46746.0,59,9.839931731596712,False
1194323725,TX,78221.0,Ambulatory Surgical Center,1,471016.75,139888.45,151585.33,69,9.79690940412198,False
1265770572,PA,19072.0,Ambulatory Surgical Center,1,6147921.62,2146868.98,2178678.88,69,9.763851044903484,False
1538940556,FL,33912.0,Ambulatory Surgical Center,1,367416.29,52702.25,54892.49,73,9.759935154703358,False
1922044387,NJ,7444.0,Mass Immunizer Roster Biller,1,1431940.97,1281557.27,1258214.83,78,9.713775393178324,False
1174284483,CA,91042.0,Clinical Laboratory,1,4834090.0,3372358.68,3427758.96,76,9.691327105303367,False
1174185649,AZ,85712.0,Ambulatory Surgical Center,1,24110726.0,4893449.64,5355715.33,76,9.678247238194384,False
1649223124,AZ,85712.0,Ambulatory Surgical Center,1,35736908.91,4254791.29,4615577.5,75,9.619663315016977,False
1245602846,GA,30214.0,Ambulance Service Provider,1,1610802.12,430527.81,540947.2,69,9.61293733586356,False
1073614046,TX,77401.0,Nurse Practitioner,1,1893485.0,1353503.96,1353342.54,78,9.591346719557134,False
1972548287,IL,62864.0,General Surgery,1,36214024.95,2065180.43,2445133.74,71,9.585822031705192,False
1538827860,MS,39564.0,Nurse Practitioner,1,10491825.0,6690872.07,6695940.69,78,9.521097942693626,False
1750483194,NY,10956.0,Orthopedic Surgery,1,6513557.98,44454.71,39677.44,75,9.512665741584852,False
1518302660,NJ,7712.0,Orthopedic Surgery,1,5123995.99,35642.73,32236.73,74,9.511623583799478,False
1073229746,CA,90059.0,Physician Assistant,1,16394872.14,12746258.23,12737658.42,82,9.381834751028467,False
1124252531,VA,22043.0,Plastic and Reconstructive Surgery,1,10986326.58,957333.12,945893.78,76,9.368314567405637,False
1528373172,CA,91335.0,Podiatry,1,12178772.69,7567658.72,7561671.63,73,9.352444597548335,False
1013392042,TX,77304.0,Ambulatory Surgical Center,1,15208693.22,3127367.01,3348646.83,72,9.351751122662812,False
1942884457,FL,34476.0,Ambulatory Surgical Center,1,7862360.0,3063535.86,3227932.07,77,9.320570323337463,False
1124066139,TX,75246.0,Radiation Oncology,1,21538458.0,6195442.61,6196967.57,73,9.308404806133325,False
1053908194,CA,95363.0,Physician Assistant,1,14083606.79,10905189.98,10897414.92,80,9.302634682997269,False
1043283351,FL,34737.0,Family Practice,1,8887757.97,5712009.9,5733734.49,79,9.288308960199865,False
1265459168,TX,78229.0,Medical Oncology,1,30317781.88,8321893.91,8303059.29,76,9.275875385313107,False
1215075411,KS,67213.0,Ambulance Service Provider,1,8836350.12,4206711.72,4646166.34,77,9.275517048282726,False
1265931653,MA,1545.0,Ambulatory Surgical Center,1,11730335.82,2186704.48,2120629.72,70,9.20878083218133,False
1114456225,CO,81303.0,Podiatry,1,9354789.73,7074301.38,7079782.59,76,9.14691523598636,False
1881301190,CA,90024.0,Nurse Practitioner,1,15231446.36,11821377.65,11811988.08,81,9.078827689012243,False
1295281285,CA,92780.0,Mass Immunizer Roster Biller,1,13821.15,12674.46,12529.91,77,9.078570567671544,False
1679010417,CA,90230.0,Ambulatory Surgical Center,1,9984651.0,2047828.96,1754257.48,67,8.992907081198906,False
1770652216,CA,94040.0,Ambulatory Surgical Center,1,20473890.05,4796211.6,3308701.61,76,8.98734632827182,False
1679655732,WV,24801.0,Family Practice,1,8885.94,5449.34,5825.17,74,8.98299071454758,False
1689393746,NM,88220.0,Ambulatory Surgical Center,1,638916.0,224938.9,244538.26,73,8.962380578190409,False
1073613162,CO,80110.0,Ambulatory Surgical Center,1,22653809.0,1339274.89,1350499.84,73,8.961170324055168,False
1598058505,SC,29571.0,Ambulance Service Provider,1,1465995.0,775911.18,769316.83,73,8.959400605846332,False
1013397058,IA,51104.0,Family Practice,1,1872.52,736.98,779.54,63,8.942789441073923,False
1912493230,TX,76244.0,Nurse Practitioner,1,3471243.32,2519444.61,2519548.71,71,8.902096718908528,False
1942455423,CA,93103.0,Ophthalmology,1,33299623.02,9812655.67,9579629.09,76,8.847058288365151,False
