Dataset,Column,DataType,NonNull,Null,NullPercentage,Mean,Median,Std,Min,Max
Provider,Provider,object,5410,0,0.0,,,,,
Provider,PotentialFraud,object,5410,0,0.0,,,,,
Beneficiary,BeneID,object,138556,0,0.0,,,,,
Beneficiary,DOB,object,138556,0,0.0,,,,,
Beneficiary,DOD,object,1421,137135,98.97442189439649,,,,,
Beneficiary,Gender,int64,138556,0,0.0,1.570931608880164,2.0,0.49494492106364024,1.0,2.0
Beneficiary,Race,int64,138556,0,0.0,1.2545108115130343,1.0,0.717006690602713,1.0,5.0
Beneficiary,RenalDiseaseIndicator,object,138556,0,0.0,,,,,
Beneficiary,State,int64,138556,0,0.0,25.666734028118594,25.0,15.223443038004916,1.0,54.0
Beneficiary,County,int64,138556,0,0.0,374.4247452293657,340.0,266.27758112503125,0.0,999.0
Beneficiary,NoOfMonths_PartACov,int64,138556,0,0.0,11.907726839689367,12.0,1.0323317466234552,0.0,12.0
Beneficiary,NoOfMonths_PartBCov,int64,138556,0,0.0,11.910144634660353,12.0,0.936893335455158,0.0,12.0
Beneficiary,ChronicCond_Alzheimer,int64,138556,0,0.0,1.6678166228817228,2.0,0.47099807023400075,1.0,2.0
Beneficiary,ChronicCond_Heartfailure,int64,138556,0,0.0,1.506322353416669,2.0,0.49996183043949405,1.0,2.0
Beneficiary,ChronicCond_KidneyDisease,int64,138556,0,0.0,1.6876425416438119,2.0,0.46345639145680423,1.0,2.0
Beneficiary,ChronicCond_Cancer,int64,138556,0,0.0,1.8800412829469673,2.0,0.32491442747557414,1.0,2.0
Beneficiary,ChronicCond_ObstrPulmonary,int64,138556,0,0.0,1.7628467911891221,2.0,0.42533853583205156,1.0,2.0
Beneficiary,ChronicCond_Depression,int64,138556,0,0.0,1.6444758797886776,2.0,0.47867355666167566,1.0,2.0
Beneficiary,ChronicCond_Diabetes,int64,138556,0,0.0,1.3981422673864718,1.0,0.4895168350163902,1.0,2.0
Beneficiary,ChronicCond_IschemicHeart,int64,138556,0,0.0,1.3241433066774444,1.0,0.46805555711962044,1.0,2.0
Beneficiary,ChronicCond_Osteoporasis,int64,138556,0,0.0,1.7253168394006755,2.0,0.4463560908198635,1.0,2.0
Beneficiary,ChronicCond_rheumatoidarthritis,int64,138556,0,0.0,1.7431796529922918,2.0,0.43688102945819957,1.0,2.0
Beneficiary,ChronicCond_stroke,int64,138556,0,0.0,1.9209417130979531,2.0,0.26983068701604684,1.0,2.0
Beneficiary,IPAnnualReimbursementAmt,int64,138556,0,0.0,3660.346502497185,0.0,9568.621827235773,-8000.0,161470.0
Beneficiary,IPAnnualDeductibleAmt,int64,138556,0,0.0,399.84729640001154,0.0,956.1752023312978,0.0,38272.0
