Provider,anomaly_prediction,anomaly_score_raw,risk_score,risk_level,total_claim_count,total_reimbursement,unique_beneficiary_count,avg_reimbursement,claims_per_beneficiary
PRV52019,1,1.0,100.0,CRITICAL,1961,5996050,1288,3057.6491585925546,1.5225155279503106
PRV56560,1,0.9514622458063794,95.14098832760432,CRITICAL,2313,3212000,831,1388.672719412019,2.783393501805054
PRV55215,1,0.930811168499248,93.073652758624,CRITICAL,3393,2284560,2517,673.315649867374,1.3480333730631704
PRV55462,1,0.9297417246087658,92.96659299796642,CRITICAL,1907,4713830,823,2471.85631882538,2.3171324422843256
PRV57191,1,0.8921050972993365,89.19887002758311,CRITICAL,1500,2424430,709,1616.2866666666666,2.1156558533145273
PRV53706,1,0.8913108727422911,89.11936189093154,CRITICAL,473,2831940,262,5987.188160676533,1.8053435114503817
PRV54367,1,0.8880963559147248,88.79756342609218,CRITICAL,636,3133880,289,4927.4842767295595,2.2006920415224913
PRV54742,1,0.8868170405111071,88.66949387318175,CRITICAL,1892,2969530,879,1569.5190274841439,2.1524459613196814
PRV56416,1,0.8781241334214898,87.79926537338326,CRITICAL,1592,2744870,613,1724.1645728643216,2.597063621533442
PRV57080,1,0.8732229346176196,87.30861675165805,CRITICAL,1,57000,1,57000.0,1.0
PRV55209,1,0.8585814705392409,85.84289082264188,CRITICAL,762,2914700,434,3825.0656167979005,1.7557603686635945
PRV52340,1,0.8540164181132526,85.38589310217687,CRITICAL,1743,2540130,624,1457.3321858864028,2.793269230769231
PRV51501,1,0.8379530078311472,83.7778191532283,CRITICAL,233,2071310,207,8889.742489270386,1.1256038647342994
PRV51560,1,0.833659495753086,83.34800476132935,CRITICAL,238,1956190,167,8219.285714285714,1.4251497005988023
PRV52846,1,0.8330291945147074,83.28490664059245,CRITICAL,241,2117010,164,8784.273858921162,1.4695121951219512
PRV51459,1,0.832025694981952,83.18444842978502,CRITICAL,8240,2321890,2857,281.78276699029124,2.8841442072103605
PRV54765,1,0.830758333436709,83.05757555229431,CRITICAL,239,2000500,162,8370.292887029289,1.4753086419753085
PRV54772,1,0.826926547609153,82.67398359647486,CRITICAL,2115,1751320,1009,828.0472813238771,2.0961347869177405
PRV55230,1,0.8253757815078728,82.51873968969629,CRITICAL,565,2612740,325,4624.3185840707965,1.7384615384615385
PRV52537,1,0.8236965377838967,82.35063416048189,CRITICAL,1,57000,1,57000.0,1.0
PRV52120,1,0.8231398941039729,82.29490974176804,CRITICAL,1231,1950720,956,1584.6628757108042,1.2876569037656904
PRV51244,1,0.8173739173247353,81.71769003025612,CRITICAL,1415,2153990,587,1522.2544169611308,2.4105621805792166
PRV57399,1,0.8162945903233074,81.60964089231395,CRITICAL,1,57000,1,57000.0,1.0
PRV51940,1,0.8128792215052039,81.26773556050767,CRITICAL,251,1992270,170,7937.330677290836,1.4764705882352942
PRV52804,1,0.8096745871791773,80.94692641194658,CRITICAL,1,36000,1,36000.0,1.0
PRV52173,1,0.8092208663189578,80.90150537851719,CRITICAL,119,1381400,108,11608.403361344537,1.1018518518518519
PRV52903,1,0.8089522441610614,80.87461418376853,CRITICAL,200,1568110,158,7840.55,1.2658227848101267
PRV51578,1,0.8041196433499349,80.39083276166932,CRITICAL,1500,1662920,1168,1108.6133333333332,1.2842465753424657
PRV55444,1,0.802534912339342,80.23218869982497,CRITICAL,128,1313260,95,10259.84375,1.3473684210526315
PRV52178,1,0.7954998605738733,79.52792458187753,CRITICAL,136,1379590,118,10144.04411764706,1.152542372881356
PRV56903,1,0.7928220126518934,79.25985090343957,CRITICAL,2,57000,2,28500.0,1.0
PRV55067,1,0.7927076981399579,79.24840711999622,CRITICAL,1,29000,1,29000.0,1.0
PRV53033,1,0.7911395671625228,79.09142485227927,CRITICAL,2,75000,1,37500.0,2.0
PRV54955,1,0.7863486524318023,78.6118165353151,CRITICAL,314,2134890,191,6799.012738853503,1.643979057591623
PRV52985,1,0.786100257490389,78.58695024432691,CRITICAL,1403,1720120,464,1226.0299358517464,3.023706896551724
PRV51471,1,0.7836393496668815,78.34059397923453,CRITICAL,180,1602210,155,8901.166666666666,1.1612903225806452
PRV53808,1,0.7819160552696957,78.16807863051243,CRITICAL,493,1927250,284,3909.2292089249495,1.7359154929577465
PRV55586,1,0.7785491173781963,77.83102161609504,CRITICAL,2,42000,2,21000.0,1.0
PRV52100,1,0.7755360476536984,77.52938959367647,CRITICAL,201,1533150,140,7627.611940298508,1.4357142857142857
PRV57173,1,0.7753619973888916,77.51196579065281,CRITICAL,1225,1326410,861,1082.7836734693878,1.4227642276422765
PRV53797,1,0.7715255887524025,77.12791105523142,CRITICAL,4739,1303600,2020,275.0791306182739,2.346039603960396
PRV55431,1,0.7702171063203019,76.9969216529336,CRITICAL,2,58000,2,29000.0,1.0
PRV54350,1,0.7699992687128553,76.97511439186734,CRITICAL,1495,1425070,493,953.2240802675585,3.032454361054767
PRV56286,1,0.7640035389374311,76.374894594983,CRITICAL,1,23000,1,23000.0,1.0
PRV54894,1,0.7632294710925969,76.29740430405872,CRITICAL,229,1757060,120,7672.751091703057,1.9083333333333334
PRV57172,1,0.7628089201559863,76.25530384136165,CRITICAL,1760,1386100,575,787.5568181818181,3.0608695652173914
PRV51119,1,0.7618464007851458,76.15894806768566,CRITICAL,95,1080580,81,11374.526315789473,1.1728395061728396
PRV51232,1,0.7593955005453509,75.91359364058269,CRITICAL,1,26000,1,26000.0,1.0
PRV51136,1,0.7518295751007673,75.15618488407004,CRITICAL,1,20000,1,20000.0,1.0
PRV51574,1,0.7511976107026563,75.09292026793823,CRITICAL,4444,1281810,1715,288.4360936093609,2.5912536443148686
